name,type,guests,cabins,crew,Cabin Configuration,length,Builder,year,Cruising Speed,Beam,Draft,Gross Tonnage,model,Exterior Designer,Interior Design,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description,Owner & Guests
O'PTASIA,Motor Yachts,12,10,29,"1 Master, 1 VIP, 6 Double, 2 Twin",85m / 278'10,Golden Yachts Golden Yachts,2018 | 2024 (Refitted),17 Knots,13.8m / 45'3,3.6m / 11'10,"2,342 GT",Custom Custom,Studio Vafiadis,Studio Vafiadis,"€900,000 p/week + expenses Approx $1,056,000","€900,000 p/week + expenses Approx $1,056,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Calvi, Corsica, French Riviera, Mykonos, Sardinia","€900,000 p/week + expenses Approx $1,056,000","€900,000 p/week + expenses Approx $1,056,000","Caribbean, Antigua,, Saint Martin,, St Barts, Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Calvi, Corsica, French Riviera, Mykonos, Sardinia",The award winning 84.73m/278' motor yacht O’PTASIA by the Greek shipyard Golden Yachts offers flexible accommodation for up to 12 guests in 10 cabins and features interior styling by Studio Vafiadis.,
SOLANDGE,Motor Yachts,12,8,29,"1 Master, 1 VIP, 3 Double, 2 Double/Twin, 1 Twin",85.09m / 279'2,Lurssen Lurssen,2013 | 2022 (Refitted),15 Knots,13.8m / 45'3,3.9m / 12'10,"2,899 GT",Custom Custom,Espen Oeino,Rodriguez Interiors,"€1,000,000 p/week + expenses Approx $1,140,000","€1,000,000 p/week + expenses Approx $1,140,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Abu Dhabi, Amalfi Coast, Corsica, Dubai, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","€1,000,000 p/week + expenses Approx $1,140,000","€1,000,000 p/week + expenses Approx $1,140,000",,"Abu Dhabi, Dubai","The 2013-built superyacht SOLANDGE was launched from the Lürssen Shipyard in Germany to world acclaim. At 279.20ft /85.1m she is among the largest and most luxurious charter yachts on the market, conceived by industry-leading designers and highly experienced owners.",
EMIR,Motor Yachts,28,14,28,"1 Master, 3 VIP, 5 Double, 5 Twin",82.5m / 270'8,Golden Yachts Golden Yachts,2004 | 2022 (Refitted),12 Knots,11.6m / 38'1,4.4m / 14'5,"1,809 GT",Conversion Conversion,Giorgio Vafiadis,Studio Vafiadis,"€700,000 p/week + expenses Approx $798,000","€750,000 p/week + expenses Approx $855,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Calvi, Corsica, French Riviera, Mykonos, Sardinia",POA,POA,,,"Built by Mitsubishi Heavy Industries in 2004 and refit to exacting standards in 2022, the 83m/271ft custom motor yacht ‘EMIR’ has remained one of the most refined superyachts  available for charter.",
ROMEA,Motor Yachts,12,6,25,"1 Master, 1 VIP, 2 Double, 2 Twin, 2 Pullman",81.8m / 268'4,Abeking & Rasmussen Abeking & Rasmussen,2015 | 2021 (Refitted),13 Knots,12.6m / 41'4,3.45m / 11'4,"2,312 GT",Custom Custom,Terence Disdale,Terence Disdale,"€1,100,000 p/week + expenses Approx $1,254,000","€1,100,000 p/week + expenses Approx $1,254,000","Mediterranean, Turkey",,"€1,100,000 p/week + expenses Approx $1,254,000","€1,100,000 p/week + expenses Approx $1,254,000","Indian Ocean, Maldives,, Seychelles, South East Asia, Philippines,, Thailand, South Pacific, French Polynesia","Abu Dhabi, Dubai","Built by the German shipyard Abeking & Rasmussen in 2015, the 268.37ft /81.8m Custom motor yacht 'ROMEA' features the exterior and interior design of Terence Disdale.",
ALFA NERO,Motor Yachts,12,6,26,"1 Master, 2 VIP, 3 Twin",81.27m / 266'8,Oceanco Oceanco,2007 | 2024 (Refitted),14 Knots,14.2m / 46'7,3.9m / 12'10,"2,159 GT",Custom Custom,Nuvolari Lenard,"Alberto Pinto, Nuvolari Lenard","€812,500 p/week + expenses Approx $952,500","€875,000 p/week + expenses Approx $1,026,000","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics","$812,500 p/week + expenses","$875,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"The multi-award winning 81.27m/266'8"" motor yacht 'Alfa Nero' by the Dutch shipyard Oceanco offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Alberto Pinto.",
AIR,Motor Yachts,12,7,22,"1 Master, 1 VIP, 4 Double, 1 Twin",81m / 265'9,Feadship Feadship,2011 | 2017 (Refitted),12 Knots,11.6m / 38'1,3.55m / 11'8,"1,893 GT",Custom Custom,De Voogt,Remi Tessier,"€925,000 p/week + expenses Approx $1,091,500","€925,000 p/week + expenses Approx $1,091,500","Mediterranean, Croatia,, France,, Italy,, Malta,, Monaco,, Montenegro","Amalfi Coast, Calvi, Corsica, French Riviera, Ibiza, Sardinia, The Balearics","€925,000 p/week + expenses Approx $1,091,500","€925,000 p/week + expenses Approx $1,091,500",,,"The 81m/265'9"" 'Air' motor yacht built by the Dutch shipyard Feadship is available for charter for up to 12 guests in 7 cabins. This  yacht  features interior styling by Remi Tessier.",
ELEMENTS,Motor Yachts,12,12,25,"1 Master, 1 VIP, 5 Double, 5 Twin",80m / 262'6,Yachtley Yachtley,2019,13.5 Knots,12.8m / 42',3.8m / 12'6,"2,950 GT",Custom Custom,Alpha Marine,Cristiano Gatto Design,"€800,000 p/week + expenses Approx $912,000","€900,000 p/week + expenses Approx $1,026,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","€800,000 p/week + expenses Approx $912,000","€900,000 p/week + expenses Approx $1,026,000","Bermuda, Caribbean, Antigua,, Bahamas,, Cuba,, Saint Martin,, St Barts, Central America, Belize,, Costa Rica",Virgin Islands,The opulent 80m (263ft) superyacht ELEMENTS was built in 2018 by Yachtley. The yacht's sumptuous interior has been designed by Cristiano Gatto Design and she boasts impressive exterior styling by Alpha Marine.,
BATELLO,Motor Yachts,12,9,26,"1 Master, 4 VIP, 4 Double/Twin",80m / 262'6,Oceanco Oceanco,2007 | 2025 (Refitted),13 Knots,14.2m / 46'7,3.9m / 12'10,"2,310 GT",Custom Custom,Nuvolari Lenard,Alberto Pinto,"€820,000 p/week + expenses Approx $954,500","€850,000 p/week + expenses Approx $989,500","Mediterranean, France,, Italy",,"$735,000 p/week + expenses","$780,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",,"The 80m/262'6"" 'Batello' motor yacht built by the Dutch shipyard Oceanco is available for charter for up to 12 guests in 9 cabins. This award winning  yacht  features interior styling by Alberto Pinto.",
EXCELLENCE,Motor Yachts,12,7,22,"1 Master, 6 Double",80m / 262'6,Abeking & Rasmussen Abeking & Rasmussen,2019,13 Knots,14.45m / 47'5,3.45m / 11'4,"2,115 GT",Custom Custom,Winch Design,Winch Design,"€1,100,000 p/week + expenses Approx $1,291,000","€1,260,000 p/week + expenses Approx $1,479,000","Mediterranean, France,, Italy,, Malta,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Sardinia","$1,150,000 p/week + expenses","$1,300,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"A masterpiece of modern design, the 262.47ft /80m Custom motor yacht EXCELLENCE was launched by Abeking & Rasmussen in 2019. Winch Design is responsible for her futuristic exterior design and contemporary interior styling.",
MY DRAGON,Motor Yachts,12,7,19,,79.9m / 262'2,Columbus Yachts Columbus Yachts,2019,12 Knots,13.4m / 44',3.7m / 12'2,"2,210 GT",Custom,HydroTec,Francesco Guida,"€850,000 p/week + expenses Approx $1,001,000","€900,000 p/week + expenses Approx $1,060,000","Mediterranean, France,, Italy,, Malta,, Monaco","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics","€850,000 p/week + expenses Approx $1,001,000","€900,000 p/week + expenses Approx $1,060,000",,,"The 79.9m/262'2"" motor yacht 'My Dragon' by the Italian shipyard Columbus Yachts offers flexible accommodation for up to 12 guests in 7 cabins and features interior styling by Italian designer Francesco Guida.",
TATIANA,Motor Yachts,12,8,20,"1 Master, 2 VIP, 4 Double, 1 Twin",80m / 262'6,Bilgin Yachts Bilgin Yachts,2021,12 Knots,12.2m / 40',3.5m / 11'6,"1,696 GT",Bilgin 263 Bilgin 263,Unique Yacht Design,H2 Yacht Design,"€775,000 p/week + expenses Approx $911,000","€775,000 p/week + expenses Approx $911,000","Mediterranean, Croatia,, France,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics","€775,000 p/week + expenses Approx $911,000","€775,000 p/week + expenses Approx $911,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","The 80m/262'6"" 'Tatiana' motor yacht built by the Turkish shipyard Bilgin Yachts is available for charter for up to 12 guests in 8 cabins. This  yacht  features interior styling by English designer H2 Yacht Design.",
MIMTEE,Motor Yachts,12,11,24,"1 Master, 1 VIP, 1 Double, 1 Double/Twin, 2 Twin",78.99m / 259'2,CRN Yachts CRN Yachts,2019,14 Knots,13.5m / 44'3,3.4m / 11'2,"2,231 GT",Custom Custom,Zuccon,Laura Sessa Romboli,"€900,000 p/week + expenses Approx $1,040,000","€900,000 p/week + expenses Approx $1,040,000","Mediterranean, France,, Monaco","Corsica, French Riviera","€900,000 p/week + expenses Approx $1,040,000","€900,000 p/week + expenses Approx $1,040,000","Mediterranean, France,, Monaco","Corsica, French Riviera","The 78.85m/258'8"" motor yacht 'Mimtee' by the Italian shipyard CRN Yachts offers flexible accommodation for up to 12 guests in 11 cabins and features interior styling by Italian designer Laura Sessa Romboli.",
SS DELPHINE,Motor Yachts,26,12,24,"2 VIP, 9 Double",78.57m / 257'9,Great Lakes Ew Great Lakes Ew,1921 | 2016 (Refitted),9 Knots,10.82m / 35'6,6.6m / 21'8,"1,255 GT",Custom Custom,Henry J Gielow,Tiffanys Of New York,"€400,000 p/week + expenses Approx $456,000","€600,000 p/week + expenses Approx $684,000",,,"€400,000 p/week + expenses Approx $456,000","€600,000 p/week + expenses Approx $684,000",,,"The 78.57m/257'9"" 'SS Delphine' classic yacht built by shipyard Great Lakes Ew is available for charter for up to 26 guests in 12 cabins. This  yacht  features interior styling by Tiffanys Of New York.",
AMARYLLIS,Motor Yachts,12,6,23,"1 VIP, 4 Double, 1 Twin",78.44m / 257'4,Abeking & Rasmussen Abeking & Rasmussen,2011 | 2022 (Refitted),14 Knots,12.4m / 40'8,3.35m / 11',"2,108 GT",Custom Custom,Reymond Langton Design,Reymond Langton Design,"€770,000 p/week + expenses Approx $901,500","€875,000 p/week + expenses Approx $1,024,500","Mediterranean, France,, Monaco","Corsica, French Riviera","$770,000 p/week + expenses","$875,000 p/week + expenses","Caribbean, Bahamas",,"The 257.32ft/78.43m Custom motor yacht 'AMARYLLIS’' was built in 2011 by the acclaimed German shipyard Abeking & Rasmussen. A highly luxurious superyacht, both her interior and exterior spaces have been styled by the award-winning Reymond Langton Design.",
MALIA,Motor Yachts,12,8,22,,77.7m / 254'11,Golden Yachts Golden Yachts,2023 | 2024 (Refitted),15 Knots,13.2m / 43'4,3.4m / 11'2,"2,147 GT",Custom Custom,Studio Vafiadis,"Studio Vafiadis, Massari Design","€750,000 p/week + expenses Approx $873,500","€850,000 p/week + expenses Approx $990,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics","€750,000 p/week + expenses Approx $873,500","€850,000 p/week + expenses Approx $990,000","Caribbean, Antigua,, Saint Martin,, St Barts, Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia","The 77.7m/254'11"" motor yacht 'Malia' offers the unmissable chance to charter a brand new superyacht, having only launched this year. Delivered by the Greek shipyard Golden Yachts and features interior styling by Studio Vafiadis and  Massari Design, she can comfortably accommodate up to 12 guests in 8 cabins.",
SILVER FAST,Motor Yachts,12,8,17,"1 Master, 3 VIP, 1 Double, 3 Twin",77m / 252'7,SilverYachts SilverYachts,2015,25 Knots,11.2m / 36'9,2.68m / 8'10,952 GT,Silver Series Silver Series,Espen Oeino,Vain Interiors,"€625,000 p/week + expenses Approx $712,500","€675,000 p/week + expenses Approx $769,500",,,"€625,000 p/week + expenses Approx $712,500","€675,000 p/week + expenses Approx $769,500",,,"The multi-award winning 77.1m/252'11"" motor yacht 'Silver Fast' by the Australian shipyard SilverYachts offers flexible accommodation for up to 12 guests in 8 cabins and features interior styling by Vain Interiors.",
BOADICEA,Motor Yachts,18,9,22,"2 Master, 1 VIP, 4 Double, 2 Twin",76.6m / 251'4,Amels Amels,1999 | 2024 (Refitted),12.5 Knots,14m / 45'11,4.2m / 13'9,"2,191 GT",Custom Custom,Terence Disdale,Terence Disdale,"€725,000 p/week + expenses Approx $848,500","€725,000 p/week + expenses Approx $848,500","Mediterranean, Croatia,, Malta,, Monaco,, Montenegro, Northern Europe, Norway","Amalfi Coast, Calvi, Cannes, Corsica, French Riviera, Sardinia, St Tropez","$725,000 p/week + expenses","$725,000 p/week + expenses","Caribbean, Bahamas,, Cuba, Central America, Costa Rica",,"Impressive 77m (251ft) motor yacht BOADICEA was built in 1999 by the esteemed Dutch shipyard Amels and refitted in 2024 by Amico. Her elegantly appointed exterior and interior design is masterminded by the revered superyacht designer Terence Disdale. Across 9 spacious and uber-chic cabins, she can accommodate 18 guests.",
ALVIA,Motor Yachts,12,7,21,"1 Master, 2 VIP, 2 Double, 2 Convertible",76m / 249'4,Feadship Feadship,2024,15 Knots,13.4m / 44',3.4m / 11'2,"2,265 GT",Custom Custom,RWD,"RWD, Susan Young Interiors","€875,000 p/week + expenses Approx $1,026,000","€900,000 p/week + expenses Approx $1,055,000","Mediterranean, France,, Italy,, Malta,, Monaco","Amalfi Coast, Calvi, Cannes, Corsica, French Riviera, Ibiza, Ligurian Riviera, Mallorca, Portofino, Sardinia, St Tropez, The Balearics","$875,000 p/week + expenses","$900,000 p/week + expenses","Caribbean, Bahamas",,"The 75.7m/248'4"" motor yacht 'Alvia' is an excellent new superyacht for the luxury charter market. Delivered by the Dutch shipyard Feadship  and featuring interior styling by British designer RWD she can comfortably accommodate up to 12 guests in 7 cabins.",
LES CINQ,Motor Yachts,,,,,75.75m / 248'6,Feadship Feadship,2025,12 Knots,12.5m / 41',3.45m / 11'4,"1,750 GT",Custom Custom,De Voogt,Gilles & Boissier,,,,,,,,,"The 75.75m/248'6"" motor yacht 'Les Cinq' offers the unmissable chance to charter a brand new superyacht, having only launched this year. Delivered by the Dutch shipyard Feadship  and featuring interior styling by Gilles & Boissier she can comfortably accommodate up to 12 guests in 6 cabins.",
WHEELS,Motor Yachts,12,6,21,"1 Master, 2 VIP, 3 Double",75.5m / 247'8,Oceanco Oceanco,2008 | 2022 (Refitted),15 Knots,13.5m / 44'3,3.95m / 13',"1,992 GT",Custom Custom,Sam Sorgiovanni,Sam Sorgiovanni,"€790,000 p/week + expenses Approx $900,500","€790,000 p/week + expenses Approx $900,500","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","€790,000 p/week + expenses Approx $900,500","€790,000 p/week + expenses Approx $900,500","Mediterranean, France,, Italy,, Malta,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",The super chic 247'8 / 75.5m custom motor yacht WHEELS (ex Anastasia) was built in 2008 by the esteemed Oceanco shipyard and has since been extensively refitted in 2022.,
KENSHO,Motor Yachts,12,8,23,"1 Master, 2 VIP, 3 Double/Twin, 2 Twin",75.18m / 246'8,Admiral Yachts Admiral Yachts,2022,11.2 Knots,12.8m / 42',3.4m / 11'2,"1,989 GT",Custom Custom,Azure Yacht Design,Jouin Manku,"€900,000 p/week + expenses Approx $1,058,500","€1,000,000 p/week + expenses Approx $1,176,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","€900,000 p/week + expenses Approx $1,058,500","€1,000,000 p/week + expenses Approx $1,176,000","Bermuda, Caribbean, Antigua,, Bahamas,, Cuba,, Saint Martin,, St Barts",Virgin Islands,"The 74.85m/245'7"" 'Kensho' motor yacht built by the Italian shipyard Admiral Yachts is available for charter for up to 12 guests in 8 cabins. This multi-award winning  yacht  features interior styling by Jouin Manku.",
ARROW,Motor Yachts,12,6,19,"1 Master, 1 VIP, 3 Double, 1 Double/Twin, 2 Pullman",75m / 246'1,Feadship Feadship,2020,13 Knots,12.9m / 42'4,3.8m / 12'6,"1,890 GT",Custom Custom,H2 Yacht Design,H2 Yacht Design,"€900,000 p/week + expenses Approx $1,043,000","€900,000 p/week + expenses Approx $1,043,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","$900,000 p/week + expenses","$900,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",,"The 75m/246'1"" motor yacht 'Arrow' by the Dutch shipyard Feadship offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by English designer H2 Yacht Design.",
M'BRACE,Motor Yachts,12,8,18,"1 Master, 6 Double, 1 Twin",74.5m / 244'5,Abeking & Rasmussen Abeking & Rasmussen,2018,14 Knots,12.8m / 42',3.45m / 11'4,"2,059 GT",Custom Custom,Harrison Eidsgaard,Harrison Eidsgaard,"€910,000 p/week + expenses Approx $1,037,500","€1,000,000 p/week + expenses Approx $1,140,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","$880,000 p/week + expenses","$880,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"The 74.5m/244'5"" 'M'Brace' motor yacht built by the German shipyard Abeking & Rasmussen is available for charter for up to 12 guests in 8 cabins. This multi-award winning  yacht  features interior styling by British designer Harrison Eidsgaard.",
ATLAS,Motor Yachts,12,6,24,"1 Master, 1 VIP, 4 Double",73.99m / 242'9,Lurssen Lurssen,2007 | 2024 (Refitted),14 Knots,12.8m / 42',3.65m / 12',"1,906 GT",Custom Custom,Espen Oeino,Reymond Langton Design,"€645,000 p/week + expenses Approx $753,000","€710,000 p/week + expenses Approx $829,000","Mediterranean, Croatia,, France,, Italy",,"$645,000 p/week + expenses","$710,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",,"The 74m/242'9"" 'Atlas' (ex. Kismet) motor yacht built by the German shipyard Lurssen is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by British designer Reymond Langton Design.",
COCOA BEAN,Motor Yachts,12,6,19,"1 Master, 1 VIP, 2 Double, 2 Twin",73.99m / 242'9,Trinity Yachts Trinity Yachts,2014 | 2020 (Refitted),14.5 Knots,12.4m / 40'8,4m / 13'1,"1,590 GT",Custom Custom,Trinity Yachts,Evan K Marshall,"€550,000 p/week + expenses Approx $639,500","€650,000 p/week + expenses Approx $755,500","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Sardinia","€550,000 p/week + expenses Approx $639,500","€600,000 p/week + expenses Approx $697,500",,,The 73.76m/242' motor yacht 'Cocoa Bean' by the American shipyard Trinity Yachts offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by British designer Evan K Marshall.,
