,name,type,guests,cabins,crew,Cabin Configuration,length,Builder,year,Cruising Speed,Beam,Draft,Gross Tonnage,model,Exterior Designer,Interior Design,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description,Owner & Guests
41,ACIONNA,Motor Yachts,8.0,4.0,4.0,"1 Master, 1 VIP, 2 Twin, 1 Convertible",25.6m / 84',Sanlorenzo Sanlorenzo,2004 | 2019 (Refitted),22 Knots,6.18m / 20'3,2.7m / 8'10,65 GT,Custom,Sanlorenzo,Sanlorenzo,"€37,500 p/week + expenses Approx $43,500","€39,500 p/week + expenses Approx $46,000","Mediterranean, Greece",Mykonos,"€37,500 p/week + expenses Approx $43,500","€37,500 p/week + expenses Approx $43,500","Mediterranean, Greece",Mykonos,"The 24.6m/80'9"" motor yacht 'Acionna' by the Italian shipyard Sanlorenzo offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Sanlorenzo.",
42,ACQUA,Motor Yachts,11.0,5.0,6.0,"1 Master, 2 Double, 1 Double/Twin, 1 Twin, 1 Pullman",33m / 108'3,Custom Line Custom Line,2020,12 Knots,7.68m / 25'2,2.18m / 7'2,262 GT,Navetta 33 Navetta 33,Zuccon,Sarah Lee Design,"€120,000 p/week + expenses Approx $139,000","€140,000 p/week + expenses Approx $162,000",,"Ibiza, The Balearics","€115,000 p/week + expenses Approx $133,000","€130,000 p/week + expenses Approx $150,500",,"Ibiza, The Balearics","The 33m/108'3"" 'Acqua' motor yacht built by the Italian shipyard Custom Line is available for charter for up to 11 guests in 5 cabins. This  yacht  features interior styling by Sarah Lee Design.",
43,ACQUA ALBERTI,Motor Yachts,8.0,4.0,3.0,"1 Master, 1 VIP, 2 Twin",24.99m / 82',Sunseeker Sunseeker,2006,17 Knots,6.1m / 20',1.7m / 5'7,122 GT,82 Yacht 82 Yacht,Don Shead Yacht Design,Ken Freivokh,"$44,500 p/week + expenses","$49,500 p/week + expenses","Caribbean, Bahamas",Florida,"$44,500 p/week + expenses","$49,500 p/week + expenses","Caribbean, Bahamas",Florida,"The 25.2m/82'8"" motor yacht 'Acqua Alberti' by the British shipyard Sunseeker offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by British designer Ken Freivokh.",
44,ACQUA CHIARA,Motor Yachts,10.0,5.0,9.0,"1 Master, 1 VIP, 1 Double, 2 Twin",47m / 154'2,Columbus Yachts Columbus Yachts,2025,12 Knots,9.1m / 29'10,2.4m / 7'10,499 GT,Atlantique 47 Atlantique 47,Hot Lab,Hot Lab,"€300,000 p/week + expenses Approx $347,000","€330,000 p/week + expenses Approx $381,500","Mediterranean, France,, Italy,, Malta,, Monaco","Amalfi Coast, Calvi, Cannes, Corsica, French Riviera, Ibiza, Ligurian Riviera, Mallorca, Portofino, Sardinia, St Tropez, The Balearics",,,,,"The 47m/154'2"" motor yacht 'Acqua Chiara' offers the unmissable chance to charter a brand new superyacht, having only launched this year. Delivered by the Italian shipyard Columbus Yachts  and featuring interior styling by Italian designer Hot Lab she can comfortably accommodate up to 10 guests in 5 cabins.",
45,ACTA,Motor Yachts,10.0,5.0,10.0,"1 Master, 2 Double, 2 Twin",51.21m / 168',Feadship Feadship,2007 | 2020 (Refitted),13 Knots,9.6m / 31'6,2.2m / 7'3,765 GT,Custom Custom,De Voogt,John Munford,"$182,000 p/week + expenses","$182,000 p/week + expenses",,New England,"$182,000 p/week + expenses","$182,000 p/week + expenses","Caribbean, Bahamas","Florida, Miami",The 51.2m/168' motor yacht 'Acta' by the Dutch shipyard Feadship offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by John Munford.,
46,AD ASTRA,Catamarans,10.0,5.0,5.0,,24.38m / 80',Fountaine Pajot Fountaine Pajot,2024,10 Knots,11.07m / 36'4,2.06m / 6'9,66 GT,Custom,,,"€70,000 p/week + expenses Approx $80,000","€90,000 p/week + expenses Approx $102,500","Mediterranean, Greece",Mykonos,,,,,The 24.38m/80' catamaran yacht 'Ad Astra' is an excellent new superyacht for the luxury charter market. Delivered by the French shipyard Fountaine Pajot  she can comfortably accommodate up to 10 guests in 5 cabins.,
47,ADASTRA,Catamarans,6.0,3.0,5.0,"1 Master, 1 VIP, 1 Twin",42.5m / 139'5,McConaghy Boats McConaghy Boats,2012,17 Knots,16.2m / 53'2,1.12m / 3'8,139 GT,Custom Custom,John Shuttleworth Yacht Designs Ltd.,,POA,POA,,,POA,POA,,,"The 42.5m/139'5"" 'Adastra' motor yacht built by shipyard McConaghy Boats is available for charter for up to 6 guests in 3 cabins.",
48,ADELA,Motor Yachts,10.0,5.0,5.0,"1 Master, 2 VIP, 2 Twin",28.93m / 94'11,Sanlorenzo Sanlorenzo,2024,13 Knots,7.4m / 24'3,2m / 6'7,130 GT,SD96 SD96,Zuccon,Patricia Urquiola,"€90,000 p/week + expenses Approx $105,500","€100,000 p/week + expenses Approx $117,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Sardinia",,,,,"The 28.93m/94'11"" motor yacht 'Adela' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Sanlorenzo  and featuring interior styling by Spanish designer Patricia Urquiola she can comfortably accommodate up to 10 guests in 5 cabins.",
49,ADEONA,Catamarans,8.0,4.0,3.0,4 Double,20.37m / 66'10,Fountaine Pajot Fountaine Pajot,2024,8 Knots,9.84m / 32'3,1.7m / 5'7,35 GT,Alegria 67 Alegria 67,,,"€50,000 p/week + expenses Approx $58,000","€65,000 p/week + expenses Approx $75,500","Mediterranean, France,, Monaco","Calvi, Corsica, French Riviera, Ligurian Riviera, Sardinia","€50,000 p/week + expenses Approx $58,000","€65,000 p/week + expenses Approx $75,500",Caribbean,,"The 20.36m/66'10"" catamaran yacht 'Adeona' is an excellent new superyacht for the luxury charter market. Delivered by the French shipyard Fountaine Pajot  she can comfortably accommodate up to 8 guests in 4 cabins.",
50,ADESSO,Sailing Yachts,8.0,4.0,4.0,,32.31m / 106',CCYD CCYD,1996 | 2012 (Refitted),9.5 Knots,7.5m / 24'7,5.3m / 17'5,90 GT,Custom,German Frers,,"€35,000 p/week + expenses Approx $40,000","€40,000 p/week + expenses Approx $45,500","Mediterranean, Italy","Amalfi Coast, Sardinia","€35,000 p/week + expenses Approx $40,000","€40,000 p/week + expenses Approx $45,500","Mediterranean, Italy","Amalfi Coast, Sardinia",The 32.31m/106' sail yacht 'Adesso' by shipyard CCYD offers flexible accommodation for up to 8 guests in 4 cabins.,
51,ADIOS,Motor Yachts,10.0,5.0,5.0,"1 Master, 1 VIP, 1 Double, 2 Twin",28.96m / 95',Sanlorenzo Sanlorenzo,2023,12 Knots,7.6m / 24'11,1.86m / 6'1,113 GT,SD96 SD96,Zuccon,Patricia Urquiola,"$90,000 p/week + expenses","$90,000 p/week + expenses","Caribbean, Bahamas",,"$90,000 p/week + expenses","$105,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"The 28.93m/94'11"" motor yacht 'Adios' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Sanlorenzo  and featuring interior styling by Spanish designer Patricia Urquiola she can comfortably accommodate up to 10 guests in 5 cabins.",
52,ADMIRAL,Gulet Yachts,36.0,16.0,9.0,"10 Double, 2 Twin, 4 Triple",47m / 154'2,Custom Custom,2012 | 2023 (Refitted),10 Knots,9.4m / 30'10,3.4m / 11'2,,Custom,,,"€42,000 p/week + expenses Approx $49,000","€49,000 p/week + expenses Approx $57,000","Mediterranean, Greece,, Turkey","Mykonos, Santorini",,,,,"The 47m/154'2"" gulet yacht 'Admiral' by shipyard Custom offers flexible accommodation for up to 36 guests in 16 cabins.",
53,ADORNATE,Classic Yachts,22.0,,5.0,,44m / 144'4,Scheepswerf De Indus Scheepswerf De Indus,1961,6 Knots,6.65m / 21'10,3.2m / 10'6,150 GT,Custom,,,,,,,,,,,"The 44m/144'4"" 'Adornate' classic yacht built by shipyard Scheepswerf De Industrie is available for charter for up to 22 guests in ##charter_cabins## cabins.",
54,ADRI,Gulet Yachts,12.0,6.0,8.0,,45.5m / 149'3,Radez Radez,2024,10 Knots,10.05m / 33',3.7m / 12'2,420 GT,Custom,Nauta Yachts,,"€84,070 p/week + expenses Approx $98,500","€92,930 p/week + expenses Approx $109,000","Mediterranean, Croatia,, Montenegro",,,,,,"The 45.5m/149'3"" gulet yacht 'Adri' is an excellent new superyacht for the luxury charter market. Delivered by shipyard Radez  she can comfortably accommodate up to 12 guests in 6 cabins.",
55,ADRIATIC DRAGON,Catamarans,8.0,4.0,4.0,"1 Master, 2 VIP, 1 Twin",23.77m / 78',Lagoon Lagoon,2019,9 Knots,11m / 36'1,1.91m / 6'3,275 GT,Seventy 7 Seventy 7,,,"€65,950 p/week + expenses Approx $76,500","€69,950 p/week + expenses Approx $81,000","Mediterranean, Croatia,, Montenegro",,"€65,950 p/week + expenses Approx $76,500","€69,950 p/week + expenses Approx $81,000","Mediterranean, Croatia,, Montenegro",,"The 23.28m/76'5"" 'Adriatic Dragon' catamaran yacht built by the French shipyard Lagoon is available for charter for up to 8 guests in 4 cabins.",
56,ADRIATIC ESCAPE,Motor Yachts,10.0,5.0,4.0,,30.13m / 98'10,Burger Boat Burger Boat,1990 | 2018 (Refitted),10 Knots,6.25m / 20'6,1.98m / 6'6,137 GT,Custom Custom,Donald O'Keeffe,Burger Boat,"€42,500 p/week + expenses Approx $49,000","€42,500 p/week + expenses Approx $49,000",,,"€42,500 p/week + expenses Approx $49,000","€42,500 p/week + expenses Approx $49,000",,,The 29.87m/98' 'Adriatic Escape' motor yacht built by the American shipyard Burger Boat is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by American designer Burger Boat.,
57,ADRIATIC HOLIDAY,Gulet Yachts,10.0,5.0,4.0,"1 Master, 2 Double, 2 Twin",27m / 88'7,Baldeniz Shipyard Baldeniz Shipyard,2008 | 2023 (Refitted),8 Knots,7m / 23',3.5m / 11'6,,Custom,,,"€18,000 p/week + expenses Approx $20,500","€23,000 p/week + expenses Approx $26,000","Mediterranean, Croatia,, Montenegro",,,,,,"The 27m/88'7"" gulet yacht 'Adriatic Holiday' by Baldeniz Shipyard offers flexible accommodation for up to 10 guests in 5 cabins.",
58,ADVA,Motor Yachts,12.0,5.0,7.0,"1 Master, 2 Double, 2 Twin",35.3m / 115'10,Benetti Benetti,2020 | 2023 (Refitted),12 Knots,7.72m / 25'4,2.15m / 7'1,271 GT,Mediterraneo 116 Mediterraneo 116,Giorgio Cassetta,Salvagni Architetti,"€130,000 p/week + expenses Approx $151,500","€175,000 p/week + expenses Approx $203,500","Mediterranean, France,, Greece,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia","€130,000 p/week + expenses Approx $151,500","€175,000 p/week + expenses Approx $203,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","The 35.5m/116'6"" motor yacht 'Adva' by the Italian shipyard Benetti offers flexible accommodation for up to 12 guests in 5 cabins and features interior styling by Italian designer Salvagni Architetti.",
59,ADVENTURE,Motor Yachts,12.0,6.0,12.0,"1 Master, 2 Double, 2 Twin, 1 Convertible",52.7m / 172'11,Feadship Feadship,2004 | 2024 (Refitted),12 Knots,9.3m / 30'6,3.3m / 10'10,499 GT,Custom Custom,Terence Disdale,Terence Disdale,"€225,000 p/week + expenses Approx $256,500","€275,000 p/week + expenses Approx $313,500","Mediterranean, Croatia,, France,, Italy,, Malta,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics","€225,000 p/week + expenses Approx $256,500","€275,000 p/week + expenses Approx $313,500",,,"The 52.69m/172'10"" motor yacht 'Adventure' by the Dutch shipyard Feadship offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by English designer Terence Disdale.",
60,AEGEAN CLIPPER,Gulet Yachts,22.0,11.0,5.0,"1 Master, 4 Double, 6 Twin",41m / 134'6,Bodrum Shipyard Bodrum Shipyard,1999 | 2019 (Refitted),12 Knots,7.5m / 24'7,3.2m / 10'6,134 GT,Custom Custom,,,"€22,000 p/week + expenses Approx $25,500","€26,500 p/week + expenses Approx $31,000","Mediterranean, Greece,, Turkey",,"€22,000 p/week + expenses Approx $25,500","€26,500 p/week + expenses Approx $31,000","Mediterranean, Turkey",,"The 41m/134'6"" 'Aegean Clipper' gulet yacht built by Bodrum Shipyard is available for charter for up to 22 guests in 11 cabins.",
61,AEGEAN SCHATZ,Gulet Yachts,10.0,5.0,5.0,"2 Master, 2 Double, 1 Twin",32m / 105',Yener Yener,2006 | 2023 (Refitted),10 Knots,7.2m / 23'7,2.7m / 8'10,100 GT,Custom,,,"€26,500 p/week + expenses Approx $31,000","€33,900 p/week + expenses Approx $39,500","Mediterranean, Greece",Mykonos,"€26,500 p/week + expenses Approx $31,000","€26,500 p/week + expenses Approx $31,000","Mediterranean, Greece",,The 32m/105' 'Aegean Schatz ' gulet yacht built by shipyard Yener is available for charter for up to 10 guests in 5 cabins.,
62,AEGEOTISSA II,Sailing Yachts,24.0,12.0,5.0,"2 Double, 2 Twin, 8 Triple",39.99m / 131'2,Custom Custom,1999 | 2022 (Refitted),11 Knots,7.8m / 25'7,2.3m / 7'7,235 GT,Custom,,,"€27,000 p/week + expenses Approx $31,500","€27,000 p/week + expenses Approx $31,500","Mediterranean, Greece",,"€27,000 p/week + expenses Approx $31,500","€27,000 p/week + expenses Approx $31,500","Mediterranean, Greece",,"The 39.99m/131'2"" sail yacht 'Aegeotissa II' by shipyard Custom offers flexible accommodation for up to 24 guests in 12 cabins.",
63,AELIA,Motor Yachts,12.0,8.0,14.0,"2 Master, 4 Double, 2 Twin",56m / 183'9,Benetti Benetti,2015 | 2024 (Refitted),14 Knots,10.6m / 34'9,3.56m / 11'8,988 GT,Custom Custom,Benetti,Central Yacht,"€340,000 p/week + expenses Approx $397,500","€380,000 p/week + expenses Approx $444,500","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","€340,000 p/week + expenses Approx $397,500","€380,000 p/week + expenses Approx $444,500","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","The 56m/183'9"" 'Aelia' motor yacht built by the Italian shipyard Benetti is available for charter for up to 12 guests in 8 cabins. This award winning  yacht  features interior styling by Central Yacht.",
64,AELLO,Classic Yachts,8.0,4.0,5.0,"1 Master, 2 Double",38m / 124'8,Max Oertz Max Oertz,1921 | 2011 (Refitted),9 Knots,6.1m / 20',3.66m / 12',71 GT,Custom,Max Oertz,Owner,"€35,000 p/week + expenses Approx $40,000","€35,000 p/week + expenses Approx $40,000","Mediterranean, Greece",Mykonos,"€35,000 p/week + expenses Approx $40,000","€35,000 p/week + expenses Approx $40,000","Mediterranean, Greece",Mykonos,The 38.1m/125' classic yacht 'Aello' by shipyard Max Oertz offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Owner.,
65,AEOLUS,Catamarans,8.0,4.0,4.0,"1 Master, 2 VIP, 1 Twin",23.3m / 76'5,Lagoon Lagoon,2024,8 Knots,11m / 36'1,1.91m / 6'3,76 GT,Seventy 7 Seventy 7,Lagoon,Lagoon,"$84,000 p/week + expenses","$90,000 p/week + expenses",Caribbean,,"$84,000 p/week + expenses","$90,000 p/week + expenses",Caribbean,,The 23.77m/78' catamaran yacht 'Aeolus' is an excellent new superyacht for the luxury charter market. Delivered by the French shipyard Lagoon  and featuring interior styling by French designer Lagoon she can comfortably accommodate up to 8 guests in 4 cabins.,
66,AERO,Motor Yachts,10.0,5.0,7.0,,39.6m / 129'11,CRN Yachts CRN Yachts,2011 | 2023 (Refitted),12 Knots,7.7m / 25'3,2.3m / 7'7,328 GT,CRN 128 CRN 128,Zuccon,Zuccon,"€135,000 p/week + expenses Approx $154,000","€149,000 p/week + expenses Approx $170,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","€140,000 p/week + expenses Approx $159,500","€160,000 p/week + expenses Approx $182,500",,,"The 39.6m/129'11"" motor yacht 'Aero' by the Italian shipyard CRN Yachts offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Italian designer Zuccon.",
67,AETERNA,Motor Yachts,20.0,10.0,12.0,"8 Double, 2 Twin, 4 Convertible",53.28m / 174'10,Radez Radez,2020 | 2024 (Refitted),9 Knots,8.6m / 28'3,3.5m / 11'6,499 GT,Custom,,,"€119,000 p/week + expenses Approx $140,000","€168,000 p/week + expenses Approx $198,000","Mediterranean, Croatia,, Montenegro",,"€119,000 p/week + expenses Approx $140,000","€119,000 p/week + expenses Approx $140,000",,,"The 53.28m/174'10"" motor yacht 'Aeterna' by shipyard Radez offers flexible accommodation for up to 20 guests in 10 cabins.",
68,AETHER,Catamarans,8.0,4.0,3.0,"1 Master, 3 Double",20.47m / 67'2,Fountaine Pajot Fountaine Pajot,2018 | 2023 (Refitted),9 Knots,9.84m / 32'3,-,,Custom,Berret Racoupeau Yacht Design,Berret Racoupeau,"€29,500 p/week + expenses Approx $34,500","€39,500 p/week + expenses Approx $46,000","Mediterranean, Greece",,"€29,500 p/week + expenses Approx $34,500","€39,500 p/week + expenses Approx $46,000","Mediterranean, Greece",,"The 20.36m/66'10"" 'Aether' catamaran yacht built by the French shipyard Fountaine Pajot is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Berret Racoupeau.",
69,AFRICA I,Motor Yachts,12.0,6.0,12.0,"1 Master, 3 Double, 2 Twin",47m / 154'2,Benetti Benetti,2010 | 2024 (Refitted),16.5 Knots,8.8m / 28'10,2.8m / 9'2,492 GT,Custom Custom,Stefano Natucci,Zuretti,"€200,000 p/week + expenses Approx $231,500","€220,000 p/week + expenses Approx $255,000","Mediterranean, Croatia,, Greece,, Montenegro",Mykonos,"€200,000 p/week + expenses Approx $231,500","€200,000 p/week + expenses Approx $231,500","Mediterranean, Croatia,, Greece,, Montenegro",Mykonos,"The 47m/154'2"" motor yacht 'Africa I' by the Italian shipyard Benetti offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by French designer Zuretti.",
70,AFTER V,Motor Yachts,8.0,4.0,3.0,"1 Master, 2 Double, 1 Twin",24.79m / 81'4,Ferretti Yachts Ferretti Yachts,2016,23 Knots,6.3m / 20'8,1.9m / 6'3,124 GT,Ferretti 800 Ferretti 800,Zuccon,Zuccon,"€45,000 p/week + expenses Approx $52,000","€45,000 p/week + expenses Approx $52,000","Mediterranean, France,, Monaco","Corsica, French Riviera, Sardinia","€37,000 p/week + expenses Approx $43,000","€37,000 p/week + expenses Approx $43,000",,,"The 24.4m/80'1"" 'After V' motor yacht built by the Italian shipyard Ferretti Yachts is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Zuccon.",
71,AFTER YOU,Motor Yachts,12.0,6.0,13.0,"1 Master, 4 Double, 1 Twin",54.99m / 180'5,Heesen Heesen,2011 | 2022 (Refitted),14 Knots,9.4m / 30'10,3m / 9'10,781 GT,Custom Custom,Omega Architects,"Ken Freivokh, Reverberi Design","€330,000 p/week + expenses Approx $387,000","€350,000 p/week + expenses Approx $410,500","Mediterranean, Croatia,, Greece,, Italy,, Montenegro,, Turkey","Mykonos, Santorini, Sardinia","$330,000 p/week + expenses","$350,000 p/week + expenses",,,"After You was the largest and one of the most powerful Heesen yachts when she was delivered in 2011. Powered by a pair of 4,300kW, MTU 20V 4000 M93L diesel engines, After You will reach a notable top speed of 24 knots. In consultation with Van Oossanen Associates, Heesen’s in-house naval architects have created a sophisticated and highly efficient hard-chine hull, while Frank Laupman from Omega Architects drew the sleek and elegant exterior lines.",
72,AFTER YOU,Expedition Yachts,12.0,6.0,17.0,"1 Master, 4 Double, 1 Twin",60m / 196'10,Damen Yachting Damen Yachting,2025,12 Knots,11m / 36'1,3.6m / 11'10,"1,160 GT",Xplorer 60 Xplorer 60,Azure Yacht Design,H2 Yacht Design,POA,POA,,,POA,POA,,,"The 60m/196'10"" expedition yacht 'After You' offers the unmissable chance to charter a brand new superyacht, having only launched this year. Delivered by the Dutch shipyard Damen Yachting  and featuring interior styling by English designer H2 Yacht Design she can comfortably accommodate up to 12 guests in 6 cabins.",
